# Average years of schooling of adults is the years of formal schooling received, on average, by adults over age 15
#Country,Amount,Date
"United States","12",2000
"Norway","11.8",2000
"New Zealand","11.7",2000
"Canada","11.6",2000
"Sweden","11.4",2000
"Australia","10.9",2000
"Switzerland","10.5",2000
"Germany","10.2",2000
"Finland","10",2000
"Poland","9.8",2000
"Denmark","9.7",2000
"Group of 7 countries (G7) average","9.69",2000
"Israel","9.6",2000
"Japan","9.5",2000
"High income OECD countries average","9.42",2000
"Netherlands","9.4",2000
"Ireland","9.4",2000
"United Kingdom","9.4",2000
"Slovakia","9.3",2000
"Belgium","9.3",2000
"Cyprus","9.2",2000
"Hungary","9.1",2000
"Argentina","8.8",2000
"Iceland","8.8",2000
"Barbados","8.7",2000
"Greece","8.7",2000
"Panama","8.6",2000
"Austria","8.4",2000
"Fiji","8.3",2000
"Philippines","8.2",2000
"France","7.9",2000
"Trinidad and Tobago","7.8",2000
"Peru","7.6",2000
"Uruguay","7.6",2000
"Chile","7.5",2000
"Spain","7.3",2000
"Italy","7.2",2000
"Mexico","7.2",2000
"Slovenia","7.1",2000
"Kuwait","7.1",2000
"Singapore","7",2000
"Jordan","6.9",2000
"Sri Lanka","6.9",2000
"Malaysia","6.8",2000
"Venezuela","6.6",2000
"Thailand","6.5",2000
"Ecuador","6.4",2000
"China","6.4",2000
"Former Spanish colonies average","6.37",2000
"Botswana","6.3",2000
"Paraguay","6.2",2000
"Guyana","6.2",2000
"Bahrain","6.1",2000
"South Africa","6.1",2000
"Swaziland","6",2000
"Mauritius","6",2000
"Costa Rica","6",2000
"Portugal","5.9",2000
"Syria","5.8",2000
"Bolivia","5.6",2000
"Zambia","5.5",2000
"Zimbabwe","5.4",2000
"Algeria","5.4",2000
"Turkey","5.3",2000
"Colombia","5.3",2000
"Jamaica","5.3",2000
"El Salvador","5.2",2000
"India","5.1",2000
"Indonesia","5",2000
"Tunisia","5",2000
"Dominican Republic","4.9",2000
"Brazil","4.9",2000
"Honduras","4.8",2000
"Nicaragua","4.6",2000
"Lesotho","4.2",2000
"Kenya","4.2",2000
"Iraq","4",2000
"Ghana","3.9",2000
"Pakistan","3.9",2000
"Cameroon","3.5",2000
"Guatemala","3.5",2000
"Uganda","3.5",2000
"South Asia average","3.33",2000
"Togo","3.3",2000
"Malawi","3.2",2000
"Papua New Guinea","2.9",2000
"Haiti","2.8",2000
"Burma","2.8",2000
"Tanzania","2.7",2000
"Bangladesh","2.6",2000
"Rwanda","2.6",2000
"Senegal","2.6",2000
"Liberia","2.5",2000
"Central African Republic","2.5",2000
"Sierra Leone","2.4",2000
"Nepal","2.4",2000
"The Gambia","2.3",2000
"Benin","2.3",2000
"Sudan","2.1",2000
"Afghanistan","1.7",2000
"Mozambique","1.1",2000
"Niger","1",2000
"Mali","0.9",2000
"Guinea-Bissau","0.8",2000
