# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20060101,   40,   23,   53
  260,20060102,   15,  -35,   56
  260,20060103,   -2,  -45,   45
  260,20060104,   16,   -5,   38
  260,20060105,    7,  -13,   19
  260,20060106,   19,   14,   26
  260,20060107,   20,   11,   40
  260,20060108,   19,   -4,   39
  260,20060109,   -6,  -27,   28
  260,20060110,   22,  -14,   49
  260,20060111,   36,   13,   53
  260,20060112,   19,   -8,   43
  260,20060113,   12,  -10,   39
  260,20060114,   10,  -14,   46
  260,20060115,  -16,  -34,   12
  260,20060116,    7,  -37,   41
  260,20060117,   53,   41,   68
  260,20060118,   34,  -15,   82
  260,20060119,   46,  -13,   90
  260,20060120,   78,   50,   98
  260,20060121,   58,   30,   82
  260,20060122,    3,  -26,   30
  260,20060123,  -28,  -53,    3
  260,20060124,  -21,  -43,   16
  260,20060125,    7,  -70,   61
  260,20060126,   11,    3,   22
  260,20060127,  -19,  -60,    7
  260,20060128,  -28,  -66,   20
  260,20060129,   -1,  -57,   46
  260,20060130,   34,   16,   49
  260,20060131,    9,  -30,   37
  260,20060201,  -33,  -45,  -18
  260,20060202,  -18,  -35,  -10
  260,20060203,   15,  -19,   45
  260,20060204,   39,   18,   79
  260,20060205,   32,   11,   64
  260,20060206,   46,   32,   62
  260,20060207,   71,   53,   86
  260,20060208,   53,   29,   73
  260,20060209,   35,   14,   63
  260,20060210,   28,   14,   44
  260,20060211,   19,  -11,   50
  260,20060212,    9,   -9,   21
  260,20060213,   28,   11,   39
  260,20060214,   52,   29,   87
  260,20060215,   71,   48,  105
  260,20060216,   70,   46,   98
  260,20060217,   53,   32,   69
  260,20060218,   44,    9,   70
  260,20060219,   45,    8,   88
  260,20060220,   33,   25,   43
  260,20060221,   29,   19,   36
  260,20060222,   16,    3,   32
  260,20060223,    4,  -18,   34
  260,20060224,    9,  -27,   53
  260,20060225,    3,  -18,   38
  260,20060226,    9,  -22,   51
  260,20060227,   27,  -11,   61
  260,20060228,   20,   -7,   55
  260,20060301,    5,  -13,   37
  260,20060302,    2,  -25,   50
  260,20060303,  -18,  -64,   33
  260,20060304,   -9,  -73,   46
  260,20060305,   13,  -40,   58
  260,20060306,   23,   -4,   63
  260,20060307,   27,  -25,   70
  260,20060308,   43,   17,   73
  260,20060309,   64,   39,   76
  260,20060310,   50,   33,   68
  260,20060311,   -3,  -40,   38
  260,20060312,  -24,  -66,   18
  260,20060313,  -16,  -65,   31
  260,20060314,    4,  -37,   52
  260,20060315,   11,  -18,   62
  260,20060316,   13,  -11,   26
  260,20060317,    9,   -6,   31
  260,20060318,    7,  -19,   55
  260,20060319,   25,  -24,   61
  260,20060320,   43,    9,   83
  260,20060321,   29,  -19,   70
  260,20060322,   11,  -42,   63
  260,20060323,   34,  -36,   95
  260,20060324,   62,   20,   97
  260,20060325,  113,   79,  143
  260,20060326,  142,  118,  168
  260,20060327,  135,  104,  180
  260,20060328,  104,   79,  138
  260,20060329,   87,   68,  120
  260,20060330,  117,   73,  153
  260,20060331,  116,   99,  147
  260,20060401,  111,   69,  149
  260,20060402,   98,   64,  129
  260,20060403,   75,   48,  106
  260,20060404,   54,   21,   90
  260,20060405,   42,   -8,   86
  260,20060406,   67,    6,  112
  260,20060407,   81,   41,  116
  260,20060408,   76,   51,  103
  260,20060409,   64,   21,  106
  260,20060410,   57,    7,  104
  260,20060411,   49,  -18,  101
  260,20060412,   80,   48,  117
  260,20060413,  100,   74,  136
  260,20060414,   87,   23,  126
  260,20060415,   86,   -1,  129
  260,20060416,  112,   91,  149
  260,20060417,  111,   86,  142
  260,20060418,   99,   62,  136
  260,20060419,  104,   64,  149
  260,20060420,  118,   66,  165
  260,20060421,  135,   92,  189
  260,20060422,   78,   39,   98
  260,20060423,   88,   25,  142
  260,20060424,  128,   88,  188
  260,20060425,  142,   79,  218
  260,20060426,  126,   74,  170
  260,20060427,  113,   65,  164
  260,20060428,   77,   41,  124
  260,20060429,   71,   37,  114
  260,20060430,   66,   29,  115
  260,20060501,   79,   32,  105
  260,20060502,  124,   34,  184
  260,20060503,  176,  118,  246
  260,20060504,  202,  123,  263
  260,20060505,  192,  127,  253
  260,20060506,  183,  112,  241
  260,20060507,  187,  115,  242
  260,20060508,  180,  129,  250
  260,20060509,  190,  125,  250
  260,20060510,  178,   98,  254
  260,20060511,  189,   87,  258
  260,20060512,  173,   83,  244
  260,20060513,  156,   91,  219
  260,20060514,  129,   92,  177
  260,20060515,  152,   80,  215
  260,20060516,  148,  126,  184
  260,20060517,  162,  103,  212
  260,20060518,  157,  120,  188
  260,20060519,  127,  104,  147
  260,20060520,  125,  111,  155
  260,20060521,  138,  106,  176
  260,20060522,  147,  121,  203
  260,20060523,  103,   80,  141
  260,20060524,  104,   75,  144
  260,20060525,  102,   55,  143
  260,20060526,  121,   54,  146
  260,20060527,  141,  129,  154
  260,20060528,  130,  117,  151
  260,20060529,  111,   73,  150
  260,20060530,   87,   52,  131
  260,20060531,  101,   71,  120
  260,20060601,  101,   81,  133
  260,20060602,  123,   58,  180
  260,20060603,  141,   95,  204
  260,20060604,  127,   79,  176
  260,20060605,  116,   64,  150
  260,20060606,  124,   69,  179
  260,20060607,  137,   53,  203
  260,20060608,  166,   70,  234
  260,20060609,  191,   94,  256
  260,20060610,  213,  125,  280
  260,20060611,  232,  142,  300
  260,20060612,  227,  154,  298
  260,20060613,  241,  142,  315
  260,20060614,  165,  130,  202
  260,20060615,  132,  108,  149
  260,20060616,  143,  110,  181
  260,20060617,  174,  108,  236
  260,20060618,  209,  113,  290
  260,20060619,  195,  144,  234
  260,20060620,  188,  141,  222
