# purchasing power per European country (2014)
# stats were taken from numbeo.com
# country, Purchasing power index
Switzerland,138.05
Germany,112.28
Sweden,106.11
Denmark,100.66
Finland,97.90
Netherlands,97.54
Ireland,94.64
Norway,94.40
United Kingdom,94.34
France,92.29
Austria,91.53
Belgium,87.93
Italy,75.39
Spain,72.48
Czech Republic,62.32
Slovenia,60.36
Poland,57.60
Portugal,54.65
Slovakia,52.41
Estonia,48.67
Croatia,48.32
Hungary,44.89
Bosnia And Herzegovina,44.52
Greece,44.27
Lithuania,43.24
Serbia,37.39
Bulgaria,37.39
Russia,37.30
Romania,36.51
Belarus,33.93
Ukraine,31.00
