# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
# 
  240,20170401,    1
  240,20170402,    0
  240,20170403,    0
  240,20170404,    0
  240,20170405,    0
  240,20170406,   -1
  240,20170407,    0
  240,20170408,    0
  240,20170409,    0
  240,20170410,   -1
  240,20170411,    0
  240,20170412,    6
  240,20170413,    0
  240,20170414,    9
  240,20170415,   27
  240,20170416,   61
  240,20170417,   52
  240,20170418,   27
  240,20170419,    0
  240,20170420,    0
  240,20170421,   11
  240,20170422,   12
  240,20170423,    8
  240,20170424,   22
  240,20170425,   21
  240,20170426,   11
  240,20170427,   17
  240,20170428,   35
  240,20170429,    0
  240,20170430,    0
  257,20170401,    3
  257,20170402,    0
  257,20170403,    0
  257,20170404,    0
  257,20170405,    0
  257,20170406,    0
  257,20170407,    0
  257,20170408,    0
  257,20170409,    0
  257,20170410,    0
  257,20170411,    0
  257,20170412,    9
  257,20170413,    0
  257,20170414,    9
  257,20170415,   24
  257,20170416,   40
  257,20170417,   24
  257,20170418,   25
  257,20170419,    0
  257,20170420,    0
  257,20170421,    9
  257,20170422,    4
  257,20170423,    8
  257,20170424,   19
  257,20170425,   16
  257,20170426,   35
  257,20170427,   22
  257,20170428,    5
  257,20170429,    0
  257,20170430,    0
  260,20170401,   -1
  260,20170402,    0
  260,20170403,    0
  260,20170404,    0
  260,20170405,    0
  260,20170406,   -1
  260,20170407,    0
  260,20170408,    0
  260,20170409,    0
  260,20170410,    0
  260,20170411,    0
  260,20170412,    8
  260,20170413,   -1
  260,20170414,   -1
  260,20170415,   34
  260,20170416,   29
  260,20170417,   86
  260,20170418,   -1
  260,20170419,    0
  260,20170420,    0
  260,20170421,    8
  260,20170422,    6
  260,20170423,    1
  260,20170424,   27
  260,20170425,   20
  260,20170426,    3
  260,20170427,    2
  260,20170428,   19
  260,20170429,   -1
  260,20170430,    0
  270,20170401,    4
  270,20170402,    0
  270,20170403,    0
  270,20170404,    0
  270,20170405,   -1
  270,20170406,   -1
  270,20170407,    0
  270,20170408,   -1
  270,20170409,    0
  270,20170410,   -1
  270,20170411,    0
  270,20170412,   47
  270,20170413,    0
  270,20170414,   14
  270,20170415,   28
  270,20170416,    8
  270,20170417,   10
  270,20170418,   29
  270,20170419,   -1
  270,20170420,    0
  270,20170421,    1
  270,20170422,    4
  270,20170423,    6
  270,20170424,   33
  270,20170425,    9
  270,20170426,    3
  270,20170427,   39
  270,20170428,    4
  270,20170429,   -1
  270,20170430,    0
  344,20170401,    5
  344,20170402,    0
  344,20170403,    0
  344,20170404,    0
  344,20170405,    0
  344,20170406,   -1
  344,20170407,    0
  344,20170408,    0
  344,20170409,    0
  344,20170410,    0
  344,20170411,    0
  344,20170412,    4
  344,20170413,    0
  344,20170414,    3
  344,20170415,   31
  344,20170416,    2
  344,20170417,   86
  344,20170418,   54
  344,20170419,    0
  344,20170420,    0
  344,20170421,    1
  344,20170422,   14
  344,20170423,    1
  344,20170424,   41
  344,20170425,   26
  344,20170426,   24
  344,20170427,    5
  344,20170428,   29
  344,20170429,    0
  344,20170430,    0
