# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 209:         4.518       52.465       0.00  IJMOND
# 210:         4.430       52.171      -0.20  VALKENBURG
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 235:         4.781       52.928       1.20  DE KOOY
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 242:         4.921       53.241      10.80  VLIELAND
# 248:         5.174       52.634       0.80  WIJDENES
# 249:         4.979       52.644      -2.40  BERKHOUT
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 260:         5.180       52.100       1.90  DE BILT
# 265:         5.274       52.130      13.90  SOESTERBERG
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 273:         5.888       52.703      -3.30  MARKNESSE
# 275:         5.873       52.056      48.20  DEELEN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 278:         6.259       52.435       3.60  HEINO
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 290:         6.891       52.274      34.80  TWENTHE
# 308:         3.379       51.381       0.00  CADZAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 315:         3.998       51.447       0.00  HANSWEERT
# 316:         3.694       51.657       0.00  SCHAAR
# 319:         3.861       51.226       1.70  WESTDORPE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 324:         4.006       51.596       0.00  STAVENISSE
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 331:         4.193       51.480       0.00  THOLEN
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 348:         4.926       51.970      -0.70  CABAUW
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 356:         5.146       51.859       0.70  HERWIJNEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 375:         5.707       51.659      22.00  VOLKEL
# 377:         5.763       51.198      30.00  ELL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 391:         6.197       51.498      19.50  ARCEN
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   RH
#     
  215,20170401,    7
  215,20170402,    0
  215,20170403,    0
  215,20170404,    0
  215,20170405,    0
  215,20170406,    0
  215,20170407,    0
  215,20170408,    0
  215,20170409,    0
  215,20170410,    0
  215,20170411,    0
  215,20170412,    5
  215,20170413,    0
  215,20170414,   12
  215,20170415,   19
  215,20170416,   13
  215,20170417,   90
  215,20170418,   28
  215,20170419,    0
  215,20170420,    0
  215,20170421,   12
  215,20170422,   12
  215,20170423,    7
  215,20170424,   40
  215,20170425,   23
  215,20170426,   35
  215,20170427,   37
  215,20170428,    9
  215,20170429,    0
  215,20170430,    0     
  235,20170401,    1
  235,20170402,    0
  235,20170403,    0
  235,20170404,    0
  235,20170405,    0
  235,20170406,   -1
  235,20170407,    0
  235,20170408,    0
  235,20170409,    0
  235,20170410,   -1
  235,20170411,    0
  235,20170412,   22
  235,20170413,    0
  235,20170414,   31
  235,20170415,   25
  235,20170416,    6
  235,20170417,   10
  235,20170418,   17
  235,20170419,    0
  235,20170420,    0
  235,20170421,    5
  235,20170422,    5
  235,20170423,    6
  235,20170424,   43
  235,20170425,   10
  235,20170426,    9
  235,20170427,   25
  235,20170428,    1
  235,20170429,    0
  235,20170430,    0
  240,20170401,    1
  240,20170402,    0
  240,20170403,    0
  240,20170404,    0
  240,20170405,    0
  240,20170406,   -1
  240,20170407,    0
  240,20170408,    0
  240,20170409,    0
  240,20170410,   -1
  240,20170411,    0
  240,20170412,    6
  240,20170413,    0
  240,20170414,    9
  240,20170415,   27
  240,20170416,   61
  240,20170417,   52
  240,20170418,   27
  240,20170419,    0
  240,20170420,    0
  240,20170421,   11
  240,20170422,   12
  240,20170423,    8
  240,20170424,   22
  240,20170425,   21
  240,20170426,   11
  240,20170427,   17
  240,20170428,   35
  240,20170429,    0
  240,20170430,    0
  249,20170401,    1
  249,20170402,    0
  249,20170403,    0
  249,20170404,    0
  249,20170405,    0
  249,20170406,   -1
  249,20170407,    0
  249,20170408,    0
  249,20170409,    0
  249,20170410,    0
  249,20170411,    0
  249,20170412,   14
  249,20170413,    0
  249,20170414,   12
  249,20170415,   21
  249,20170416,    8
  249,20170417,    9
  249,20170418,   19
  249,20170419,    0
  249,20170420,    0
  249,20170421,    9
  249,20170422,   -1
  249,20170423,   -1
  249,20170424,   63
  249,20170425,   28
  249,20170426,    3
  249,20170427,   38
  249,20170428,   11
  249,20170429,    4
  249,20170430,    0
  251,20170401,    4
  251,20170402,    0
  251,20170403,    0
  251,20170404,    0
  251,20170405,   -1
  251,20170406,   -1
  251,20170407,    0
  251,20170408,    1
  251,20170409,    0
  251,20170410,    0
  251,20170411,    0
  251,20170412,   38
  251,20170413,    0
  251,20170414,   45
  251,20170415,   20
  251,20170416,   -1
  251,20170417,    3
  251,20170418,    4
  251,20170419,   -1
  251,20170420,   -1
  251,20170421,    2
  251,20170422,   -1
  251,20170423,   10
  251,20170424,   10
  251,20170425,   31
  251,20170426,    2
  251,20170427,   16
  251,20170428,   10
  251,20170429,    0
  251,20170430,    0
  257,20170401,    3
  257,20170402,    0
  257,20170403,    0
  257,20170404,    0
  257,20170405,    0
  257,20170406,    0
  257,20170407,    0
  257,20170408,    0
  257,20170409,    0
  257,20170410,    0
  257,20170411,    0
  257,20170412,    9
  257,20170413,    0
  257,20170414,    9
  257,20170415,   24
  257,20170416,   40
  257,20170417,   24
  257,20170418,   25
  257,20170419,    0
  257,20170420,    0
  257,20170421,    9
  257,20170422,    4
  257,20170423,    8
  257,20170424,   19
  257,20170425,   16
  257,20170426,   35
  257,20170427,   22
  257,20170428,    5
  257,20170429,    0
  257,20170430,    0
  260,20170401,   -1
  260,20170402,    0
  260,20170403,    0
  260,20170404,    0
  260,20170405,    0
  260,20170406,   -1
  260,20170407,    0
  260,20170408,    0
  260,20170409,    0
  260,20170410,    0
  260,20170411,    0
  260,20170412,    8
  260,20170413,   -1
  260,20170414,   -1
  260,20170415,   34
  260,20170416,   29
  260,20170417,   86
  260,20170418,   -1
  260,20170419,    0
  260,20170420,    0
  260,20170421,    8
  260,20170422,    6
  260,20170423,    1
  260,20170424,   27
  260,20170425,   20
  260,20170426,    3
  260,20170427,    2
  260,20170428,   19
  260,20170429,   -1
  260,20170430,    0
  267,20170401,    1
  267,20170402,    0
  267,20170403,    0
  267,20170404,    0
  267,20170405,   -1
  267,20170406,   -1
  267,20170407,    0
  267,20170408,    4
  267,20170409,    0
  267,20170410,   -1
  267,20170411,    0
  267,20170412,   22
  267,20170413,    0
  267,20170414,   16
  267,20170415,   27
  267,20170416,    1
  267,20170417,   37
  267,20170418,   16
  267,20170419,    0
  267,20170420,    0
  267,20170421,    7
  267,20170422,    5
  267,20170423,    2
  267,20170424,   47
  267,20170425,   20
  267,20170426,   11
  267,20170427,   17
  267,20170428,   12
  267,20170429,    5
  267,20170430,    0
  269,20170401,   32
  269,20170402,    0
  269,20170403,    0
  269,20170404,    0
  269,20170405,   -1
  269,20170406,    2
  269,20170407,    0
  269,20170408,    0
  269,20170409,    0
  269,20170410,    1
  269,20170411,    0
  269,20170412,   20
  269,20170413,    0
  269,20170414,   -1
  269,20170415,   50
  269,20170416,    4
  269,20170417,   49
  269,20170418,   50
  269,20170419,    0
  269,20170420,    0
  269,20170421,   16
  269,20170422,    4
  269,20170423,   -1
  269,20170424,   39
  269,20170425,   11
  269,20170426,   -1
  269,20170427,    4
  269,20170428,   12
  269,20170429,    0
  269,20170430,    0
  270,20170401,    4
  270,20170402,    0
  270,20170403,    0
  270,20170404,    0
  270,20170405,   -1
  270,20170406,   -1
  270,20170407,    0
  270,20170408,   -1
  270,20170409,    0
  270,20170410,   -1
  270,20170411,    0
  270,20170412,   47
  270,20170413,    0
  270,20170414,   14
  270,20170415,   28
  270,20170416,    8
  270,20170417,   10
  270,20170418,   29
  270,20170419,   -1
  270,20170420,    0
  270,20170421,    1
  270,20170422,    4
  270,20170423,    6
  270,20170424,   33
  270,20170425,    9
  270,20170426,    3
  270,20170427,   39
  270,20170428,    4
  270,20170429,   -1
  270,20170430,    0
  273,20170401,   15
  273,20170402,    0
  273,20170403,    0
  273,20170404,    0
  273,20170405,    0
  273,20170406,   -1
  273,20170407,    0
  273,20170408,   -1
  273,20170409,    0
  273,20170410,   -1
  273,20170411,    0
  273,20170412,   35
  273,20170413,    0
  273,20170414,   -1
  273,20170415,   38
  273,20170416,    7
  273,20170417,    7
  273,20170418,    4
  273,20170419,    0
  273,20170420,   -1
  273,20170421,   10
  273,20170422,    3
  273,20170423,    2
  273,20170424,   70
  273,20170425,   18
  273,20170426,    2
  273,20170427,    2
  273,20170428,    7
  273,20170429,    5
  273,20170430,    0
  275,20170401,   20
  275,20170402,    0
  275,20170403,    0
  275,20170404,    0
  275,20170405,   -1
  275,20170406,   -1
  275,20170407,    0
  275,20170408,    0
  275,20170409,    0
  275,20170410,   -1
  275,20170411,    0
  275,20170412,   21
  275,20170413,    0
  275,20170414,   -1
  275,20170415,   15
  275,20170416,    9
  275,20170417,   54
  275,20170418,    1
  275,20170419,    0
  275,20170420,    0
  275,20170421,   10
  275,20170422,    6
  275,20170423,    5
  275,20170424,   27
  275,20170425,   10
  275,20170426,    9
  275,20170427,   -1
  275,20170428,    4
  275,20170429,    0
  275,20170430,    0
  277,20170401,   25
  277,20170402,    0
  277,20170403,    0
  277,20170404,    0
  277,20170405,    0
  277,20170406,    1
  277,20170407,    0
  277,20170408,    2
  277,20170409,    0
  277,20170410,    3
  277,20170411,    0
  277,20170412,   69
  277,20170413,    3
  277,20170414,   20
  277,20170415,   34
  277,20170416,   32
  277,20170417,   14
  277,20170418,    5
  277,20170419,    0
  277,20170420,    0
  277,20170421,    2
  277,20170422,    3
  277,20170423,   -1
  277,20170424,   26
  277,20170425,   20
  277,20170426,   13
  277,20170427,   84
  277,20170428,   28
  277,20170429,    0
  277,20170430,    0
  278,20170401,   10
  278,20170402,    0
  278,20170403,    0
  278,20170404,    0
  278,20170405,    0
  278,20170406,    0
  278,20170407,    0
  278,20170408,    0
  278,20170409,    0
  278,20170410,    0
  278,20170411,    0
  278,20170412,   40
  278,20170413,    7
  278,20170414,    0
  278,20170415,   19
  278,20170416,   10
  278,20170417,   21
  278,20170418,    1
  278,20170419,    0
  278,20170420,    0
  278,20170421,   13
  278,20170422,    0
  278,20170423,   -1
  278,20170424,   28
  278,20170425,   27
  278,20170426,   18
  278,20170427,    1
  278,20170428,    9
  278,20170429,    2
  278,20170430,    0
  279,20170401,   34
  279,20170402,    0
  279,20170403,    0
  279,20170404,    0
  279,20170405,   -1
  279,20170406,    2
  279,20170407,    0
  279,20170408,    0
  279,20170409,    0
  279,20170410,   -1
  279,20170411,   -1
  279,20170412,   59
  279,20170413,    0
  279,20170414,   -1
  279,20170415,   24
  279,20170416,   26
  279,20170417,   31
  279,20170418,   -1
  279,20170419,    0
  279,20170420,    0
  279,20170421,    6
  279,20170422,    5
  279,20170423,   -1
  279,20170424,   57
  279,20170425,   28
  279,20170426,   -1
  279,20170427,   -1
  279,20170428,    6
  279,20170429,   -1
  279,20170430,    0
  280,20170401,   77
  280,20170402,    0
  280,20170403,    0
  280,20170404,    0
  280,20170405,    0
  280,20170406,    1
  280,20170407,    0
  280,20170408,    0
  280,20170409,    0
  280,20170410,    5
  280,20170411,    1
  280,20170412,   70
  280,20170413,   -1
  280,20170414,    2
  280,20170415,   55
  280,20170416,   10
  280,20170417,   44
  280,20170418,    2
  280,20170419,    0
  280,20170420,    0
  280,20170421,    6
  280,20170422,    3
  280,20170423,    8
  280,20170424,   65
  280,20170425,   29
  280,20170426,   11
  280,20170427,    1
  280,20170428,   -1
  280,20170429,    0
  280,20170430,    0
  283,20170401,   17
  283,20170402,    0
  283,20170403,    0
  283,20170404,    0
  283,20170405,    0
  283,20170406,    0
  283,20170407,    0
  283,20170408,    0
  283,20170409,    0
  283,20170410,    0
  283,20170411,    0
  283,20170412,   21
  283,20170413,    1
  283,20170414,    0
  283,20170415,    6
  283,20170416,    2
  283,20170417,   12
  283,20170418,    0
  283,20170419,    0
  283,20170420,    0
  283,20170421,    9
  283,20170422,    4
  283,20170423,    1
  283,20170424,   20
  283,20170425,    1
  283,20170426,    0
  283,20170427,    0
  283,20170428,    1
  283,20170429,    0
  283,20170430,    0
  286,20170401,   31
  286,20170402,    0
  286,20170403,    0
  286,20170404,    0
  286,20170405,    2
  286,20170406,    0
  286,20170407,    0
  286,20170408,    3
  286,20170409,    0
  286,20170410,    3
  286,20170411,    2
  286,20170412,   49
  286,20170413,    1
  286,20170414,    2
  286,20170415,   40
  286,20170416,   13
  286,20170417,   22
  286,20170418,    1
  286,20170419,    0
  286,20170420,    0
  286,20170421,   10
  286,20170422,   39
  286,20170423,   23
  286,20170424,   65
  286,20170425,   27
  286,20170426,    5
  286,20170427,    3
  286,20170428,    9
  286,20170429,    0
  286,20170430,    0
  290,20170401,   15
  290,20170402,    0
  290,20170403,    0
  290,20170404,    0
  290,20170405,   -1
  290,20170406,   -1
  290,20170407,    0
  290,20170408,    0
  290,20170409,    0
  290,20170410,    0
  290,20170411,    0
  290,20170412,   29
  290,20170413,   10
  290,20170414,   -1
  290,20170415,   17
  290,20170416,   24
  290,20170417,   37
  290,20170418,   -1
  290,20170419,    0
  290,20170420,    0
  290,20170421,   12
  290,20170422,   -1
  290,20170423,   10
  290,20170424,   23
  290,20170425,    4
  290,20170426,   -1
  290,20170427,    0
  290,20170428,   43
  290,20170429,    0
  290,20170430,    0
  310,20170401,    2
  310,20170402,    0
  310,20170403,    0
  310,20170404,    0
  310,20170405,    0
  310,20170406,   -1
  310,20170407,    0
  310,20170408,    0
  310,20170409,    0
  310,20170410,    0
  310,20170411,    0
  310,20170412,    2
  310,20170413,    0
  310,20170414,   -1
  310,20170415,   11
  310,20170416,    5
  310,20170417,   18
  310,20170418,   53
  310,20170419,    0
  310,20170420,    0
  310,20170421,    0
  310,20170422,    4
  310,20170423,    0
  310,20170424,   23
  310,20170425,    2
  310,20170426,    6
  310,20170427,   31
  310,20170428,   68
  310,20170429,    0
  310,20170430,    0
  319,20170401,    1
  319,20170402,    0
  319,20170403,    0
  319,20170404,    0
  319,20170405,    0
  319,20170406,    0
  319,20170407,    0
  319,20170408,    0
  319,20170409,    0
  319,20170410,    0
  319,20170411,    0
  319,20170412,   -1
  319,20170413,   -1
  319,20170414,    0
  319,20170415,   32
  319,20170416,   13
  319,20170417,   17
  319,20170418,   24
  319,20170419,    0
  319,20170420,    0
  319,20170421,    0
  319,20170422,    4
  319,20170423,    0
  319,20170424,   13
  319,20170425,    6
  319,20170426,   27
  319,20170427,    5
  319,20170428,   19
  319,20170429,    0
  319,20170430,    0
  330,20170401,   21
  330,20170402,    0
  330,20170403,    0
  330,20170404,    0
  330,20170405,    0
  330,20170406,    0
  330,20170407,    0
  330,20170408,    0
  330,20170409,    0
  330,20170410,    0
  330,20170411,    0
  330,20170412,    2
  330,20170413,    0
  330,20170414,    8
  330,20170415,   21
  330,20170416,    8
  330,20170417,   60
  330,20170418,   62
  330,20170419,    0
  330,20170420,    0
  330,20170421,    0
  330,20170422,    8
  330,20170423,    2
  330,20170424,   36
  330,20170425,    7
  330,20170426,   -1
  330,20170427,   12
  330,20170428,    3
  330,20170429,    0
  330,20170430,    0
  344,20170401,    5
  344,20170402,    0
  344,20170403,    0
  344,20170404,    0
  344,20170405,    0
  344,20170406,   -1
  344,20170407,    0
  344,20170408,    0
  344,20170409,    0
  344,20170410,    0
  344,20170411,    0
  344,20170412,    4
  344,20170413,    0
  344,20170414,    3
  344,20170415,   31
  344,20170416,    2
  344,20170417,   86
  344,20170418,   54
  344,20170419,    0
  344,20170420,    0
  344,20170421,    1
  344,20170422,   14
  344,20170423,    1
  344,20170424,   41
  344,20170425,   26
  344,20170426,   24
  344,20170427,    5
  344,20170428,   29
  344,20170429,    0
  344,20170430,    0
  348,20170401,    4
  348,20170402,    0
  348,20170403,    0
  348,20170404,    0
  348,20170405,    0
  348,20170406,   -1
  348,20170407,    0
  348,20170408,    0
  348,20170409,    0
  348,20170410,    0
  348,20170411,    0
  348,20170412,   10
  348,20170413,    0
  348,20170414,    2
  348,20170415,   24
  348,20170416,   10
  348,20170417,   95
  348,20170418,   -1
  348,20170419,    0
  348,20170420,   -1
  348,20170421,    3
  348,20170422,   14
  348,20170423,    6
  348,20170424,   50
  348,20170425,   13
  348,20170426,    5
  348,20170427,    0
  348,20170428,   15
  348,20170429,    0
  348,20170430,    0
  350,20170401,   37
  350,20170402,    0
  350,20170403,    0
  350,20170404,    0
  350,20170405,   -1
  350,20170406,   -1
  350,20170407,    0
  350,20170408,    0
  350,20170409,    0
  350,20170410,    0
  350,20170411,    0
  350,20170412,    5
  350,20170413,    7
  350,20170414,   -1
  350,20170415,   15
  350,20170416,   26
  350,20170417,   51
  350,20170418,   20
  350,20170419,    0
  350,20170420,    0
  350,20170421,   -1
  350,20170422,    9
  350,20170423,   -1
  350,20170424,   14
  350,20170425,    1
  350,20170426,   -1
  350,20170427,   -1
  350,20170428,    7
  350,20170429,    0
  350,20170430,   -1
  356,20170401,    7
  356,20170402,    0
  356,20170403,    0
  356,20170404,    0
  356,20170405,    0
  356,20170406,    0
  356,20170407,    0
  356,20170408,    0
  356,20170409,    0
  356,20170410,    0
  356,20170411,    0
  356,20170412,   13
  356,20170413,    0
  356,20170414,    0
  356,20170415,   23
  356,20170416,   10
  356,20170417,   95
  356,20170418,   -1
  356,20170419,    0
  356,20170420,    0
  356,20170421,    6
  356,20170422,   21
  356,20170423,    3
  356,20170424,   20
  356,20170425,   16
  356,20170426,    0
  356,20170427,    8
  356,20170428,   20
  356,20170429,    0
  356,20170430,    0
  370,20170401,   52
  370,20170402,    0
  370,20170403,    0
  370,20170404,    0
  370,20170405,   -1
  370,20170406,    0
  370,20170407,    0
  370,20170408,    0
  370,20170409,    0
  370,20170410,    0
  370,20170411,    0
  370,20170412,    3
  370,20170413,   13
  370,20170414,    0
  370,20170415,   15
  370,20170416,   20
  370,20170417,   56
  370,20170418,   18
  370,20170419,    0
  370,20170420,    0
  370,20170421,   -1
  370,20170422,   13
  370,20170423,   -1
  370,20170424,    8
  370,20170425,    3
  370,20170426,    1
  370,20170427,    4
  370,20170428,    1
  370,20170429,    0
  370,20170430,    0
  375,20170401,   18
  375,20170402,    0
  375,20170403,    0
  375,20170404,    0
  375,20170405,    1
  375,20170406,   21
  375,20170407,    0
  375,20170408,    0
  375,20170409,    0
  375,20170410,    0
  375,20170411,    0
  375,20170412,   18
  375,20170413,    5
  375,20170414,   -1
  375,20170415,   21
  375,20170416,   22
  375,20170417,  104
  375,20170418,    4
  375,20170419,    0
  375,20170420,    0
  375,20170421,   -1
  375,20170422,   30
  375,20170423,    0
  375,20170424,   17
  375,20170425,    4
  375,20170426,   -1
  375,20170427,   -1
  375,20170428,    2
  375,20170429,    0
  375,20170430,    0
  377,20170401,    9
  377,20170402,    0
  377,20170403,    0
  377,20170404,    0
  377,20170405,    0
  377,20170406,   -1
  377,20170407,    0
  377,20170408,    0
  377,20170409,    0
  377,20170410,    0
  377,20170411,    0
  377,20170412,   -1
  377,20170413,    1
  377,20170414,    0
  377,20170415,   10
  377,20170416,   20
  377,20170417,   66
  377,20170418,   -1
  377,20170419,    0
  377,20170420,    0
  377,20170421,    0
  377,20170422,    9
  377,20170423,    0
  377,20170424,    5
  377,20170425,   11
  377,20170426,    2
  377,20170427,    2
  377,20170428,    0
  377,20170429,    0
  377,20170430,    0
  380,20170401,   15
  380,20170402,    0
  380,20170403,    0
  380,20170404,    0
  380,20170405,    0
  380,20170406,   -1
  380,20170407,    0
  380,20170408,    0
  380,20170409,    0
  380,20170410,    0
  380,20170411,    0
  380,20170412,   -1
  380,20170413,    0
  380,20170414,    0
  380,20170415,   13
  380,20170416,   19
  380,20170417,   70
  380,20170418,    3
  380,20170419,    0
  380,20170420,    0
  380,20170421,    0
  380,20170422,   11
  380,20170423,    0
  380,20170424,    0
  380,20170425,   11
  380,20170426,    6
  380,20170427,    8
  380,20170428,   -1
  380,20170429,    0
  380,20170430,    0
  391,20170401,   15
  391,20170402,    0
  391,20170403,    0
  391,20170404,    0
  391,20170405,    0
  391,20170406,    0
  391,20170407,    0
  391,20170408,    0
  391,20170409,    0
  391,20170410,    0
  391,20170411,    0
  391,20170412,    4
  391,20170413,    6
  391,20170414,    0
  391,20170415,   23
  391,20170416,    4
  391,20170417,  123
  391,20170418,   -1
  391,20170419,    0
  391,20170420,    0
  391,20170421,    0
  391,20170422,   16
  391,20170423,    1
  391,20170424,    0
  391,20170425,   11
  391,20170426,    4
  391,20170427,    0
  391,20170428,    0
  391,20170429,    0
  391,20170430,    0
